ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
85	CR140470	23120	Phencyclidine (PCP)	2014-12-10
85	CR140474	23198	Phencyclidine (PCP)	2014-12-29
85	CR140474	23199	Phencyclidine (PCP)	2014-12-29
85	CR140527	23623	Phencyclidine (PCP)	2015-04-20
85	CR140527	23624	Phencyclidine (PCP)	2015-04-20
85	CR150020	23308	Phencyclidine (PCP)	2015-03-04
85	CR150020	23309	Phencyclidine (PCP)	2015-03-04
85	CR150020	23310	Phencyclidine (PCP)	2015-03-04
85	CR150020	23311	Phencyclidine (PCP)	2015-03-04
85	CR150043	18828	Phencyclidine (PCP)	2015-02-18
85	CR150043	21133	Phencyclidine (PCP)	2015-02-18
85	CR150101	23546	Phencyclidine (PCP)	2015-03-31
85	CR150101	23547	Phencyclidine (PCP)	2015-03-31
85	CR150167	23666	Phencyclidine (PCP)	2015-04-30
